Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
frogger-refactoring,aplicacion,Acelerador,1,0,6,6,24,7,0,2,0.6666666666666666,0,2
frogger-refactoring,aplicacion,Biker,3,0,6,6,37,9,0,2,0.3333333333333333,0,2
frogger-refactoring,aplicacion,Car,7,0,20,20,100,24,0,2,0.1,0,2
frogger-refactoring,aplicacion,Carreta,3,0,6,6,39,9,0,2,0.3333333333333333,0,2
frogger-refactoring,aplicacion,Collisionable,6,0,17,17,61,17,15,1,0.23529411764705882,8,1
frogger-refactoring,aplicacion,EventosKeyboard,10,10,3,3,92,23,0,0,0.0,2,0
frogger-refactoring,aplicacion,Fly,1,0,6,6,24,7,0,2,0.6666666666666666,0,2
frogger-refactoring,aplicacion,FroggerManager,16,3,32,25,192,63,0,0,0.0,6,4
frogger-refactoring,aplicacion,FroggerManagertTest,3,0,15,15,106,15,0,0,0.13333333333333333,0,7
frogger-refactoring,aplicacion,FrogguerException,0,0,1,1,5,1,0,0,-1.0,0,0
frogger-refactoring,aplicacion,Frogirl,3,0,12,12,51,13,0,2,0.3333333333333333,0,2
frogger-refactoring,aplicacion,GameSettings,8,8,17,17,62,18,0,0,0.47058823529411764,2,1
frogger-refactoring,aplicacion,Grass,2,0,5,5,26,7,0,2,0.6,0,2
frogger-refactoring,aplicacion,Hilo,4,1,6,6,53,8,0,0,0.3333333333333333,1,3
frogger-refactoring,aplicacion,Inmunidad,1,0,6,6,24,7,0,2,0.6666666666666666,0,2
frogger-refactoring,aplicacion,Machine,0,0,1,1,3,1,3,0,-1.0,0,0
frogger-refactoring,aplicacion,MachineBrave,3,0,7,7,66,15,0,1,0.42857142857142855,0,3
frogger-refactoring,aplicacion,MachineCaution,3,0,7,7,67,15,0,1,0.42857142857142855,0,3
frogger-refactoring,aplicacion,MachineIrreflexive,3,0,7,7,67,15,0,1,0.42857142857142855,0,3
frogger-refactoring,aplicacion,MotorCycle,3,0,6,6,36,9,0,2,0.3333333333333333,0,2
frogger-refactoring,aplicacion,Platform,1,0,5,5,8,5,6,0,-1.0,0,0
frogger-refactoring,aplicacion,Player,19,0,49,49,181,53,4,0,0.12244897959183673,18,1
frogger-refactoring,aplicacion,PlayerNormal,0,0,5,5,77,18,0,1,-1.0,0,4
frogger-refactoring,aplicacion,PowerUp,1,1,3,3,8,3,5,0,-1.0,0,1
frogger-refactoring,aplicacion,Puddle,1,0,6,6,24,7,0,2,0.6666666666666666,0,2
frogger-refactoring,aplicacion,River,6,0,17,17,62,17,0,2,0.29411764705882354,0,2
frogger-refactoring,aplicacion,StopPlace,5,0,13,12,83,26,0,2,0.3076923076923077,0,2
frogger-refactoring,aplicacion,Toxicity,1,0,6,6,25,7,0,2,0.6666666666666666,0,2
frogger-refactoring,aplicacion,Trunk,7,0,20,20,88,23,0,2,0.0,0,2
frogger-refactoring,aplicacion,Turtle,9,0,26,26,138,32,0,2,0.07692307692307693,0,2
frogger-refactoring,presentacion,Assets,38,38,1,1,86,1,0,0,0.0,24,0
frogger-refactoring,presentacion,ChampSelection,10,0,63,62,297,85,0,0,0.7142857142857143,2,2
frogger-refactoring,presentacion,FroggerGUI,5,0,26,23,108,28,0,0,0.6923076923076923,2,4
frogger-refactoring,presentacion,GameGUI,6,0,13,13,131,22,0,0,0.15384615384615385,3,1
